flag,flag_reason,product,naics_2017,naics_name,match_source,description,census_2017_pxi_product_code
,,"construction, forestry, and mining machinery and equipment, including attachments",333120,Construction Machinery Manufacturing,govai,"Construction, forestry, and mining machinery and equipment, including attachments",
,,"construction, forestry, and mining machinery parts and supplies",333120,Construction Machinery Manufacturing,govai,"Construction, forestry, and mining machinery parts and supplies",
,,oil well and pipeline machinery and equipment,333132,Oil and Gas Field Machinery and Equipment Manufacturing,govai,Oil well and pipeline machinery and equipment,
,,oil well and pipeline machinery parts and supplies,333132,Oil and Gas Field Machinery and Equipment Manufacturing,govai,Oil well and pipeline machinery parts and supplies,
,,new food-processing machinery and equipment,333241,Food Product Machinery Manufacturing,govai,New food-processing machinery and equipment,
,,"restaurant, commercial food service and hotel equipment",333241,Food Product Machinery Manufacturing,govai,"Restaurant, commercial food service and hotel equipment",
,,new woodworking machinery,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",govai,New woodworking machinery,
,,new printing trades machinery and equipment,333244,Printing Machinery and Equipment Manufacturing,govai,New printing trades machinery and equipment,
,,"industrial, commercial, and service industry machinery parts and supplies",333249,Other Industrial Machinery Manufacturing,govai,"Industrial, commercial, and service industry machinery parts and supplies",
,,commercial photography and motion picture equipment,333316,Photographic and Photocopying Equipment Manufacturing,govai,Commercial photography and motion picture equipment,
,,photographic equipment and supplies,333316,Photographic and Photocopying Equipment Manufacturing,govai,Photographic equipment and supplies,
,,commercial and service industry equipment,333318,Other Commercial and Service Industry Machinery Manufacturing,govai,Commercial and service industry equipment,
,,industrial water treatment equipment,333318,Other Commercial and Service Industry Machinery Manufacturing,govai,Industrial water treatment equipment,
,,condensing units for commercial refrigerators,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,govai,Condensing units for commercial refrigerators,
,,heating and hvac equipment,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,govai,Heating and HVAC equipment,
,,refrigeration equipment,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,govai,Refrigeration equipment,
,,"metalworking machinery and equipment, except welding equipment",333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",govai,"Metalworking machinery and equipment, except welding equipment",
,,mechanical power transmission supplies,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",govai,Mechanical power transmission supplies,
,,industrial engines,333618,Other Engine Equipment Manufacturing,govai,Industrial engines,
,,marine machinery and equipment,333618,Other Engine Equipment Manufacturing,govai,Marine machinery and equipment,
,,marine propulsion machinery and equipment and marine supplies,333618,Other Engine Equipment Manufacturing,govai,Marine propulsion machinery and equipment and marine supplies,
,,petroleum products marketing equipment,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",govai,Petroleum products marketing equipment,
,,new materials handling machinery and equipment,333922,Conveyor and Conveying Equipment Manufacturing,govai,New materials handling machinery and equipment,
,,"hand tools, power driven",333991,Power-Driven Handtool Manufacturing,govai,"Hand tools, power driven",
,,"power tools and equipment, including portable electric power tools, power air tools, stationary/bench top power tools, and accessories (blades, bits, etc.)",333991,Power-Driven Handtool Manufacturing,govai,"Power tools and equipment, including portable electric power tools, power air tools, stationary/bench top power tools, and accessories (blades, bits, etc.)",
,,hydraulic and pneumatic cylinders and rotary actuators,333995,Fluid Power Cylinder and Actuator Manufacturing,govai,Hydraulic and pneumatic cylinders and rotary actuators,
,,"hydraulic and pneumatic pumps, motors, and parts",333996,Fluid Power Pump and Motor Manufacturing,govai,"Hydraulic and pneumatic pumps, motors, and parts",
,,"computers and peripheral equipment, communications equipment, and related products",334111,Electronic Computer Manufacturing,govai,"Computers and peripheral equipment, communications equipment, and related products",
,,"computers and peripheral equipment, except computer components",334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,govai,"Computers and peripheral equipment, except computer components",
,,communications equipment,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,govai,Communications equipment,
,,"televisions, audio and video equipment",334310,Audio and Video Equipment Manufacturing,govai,"Televisions, audio and video equipment",
,,"televisions, home audio and visual equipment",334310,Audio and Video Equipment Manufacturing,govai,"Televisions, home audio and visual equipment",
,,navigational and measuring equipment,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",govai,Navigational and measuring equipment,
,,"new controlling, recording, and indicating instruments and accessories",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",govai,"New controlling, recording, and indicating instruments and accessories",
,,audio and video recordings,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",govai,Audio and video recordings,
,,"blank cds, dvds, and other recordable media",334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",govai,"Blank CDs, DVDs, and other recordable media",
,,electric light bulbs,335110,Electric Lamp Bulb and Part Manufacturing,govai,Electric light bulbs,
,,"electrical, communication, and lighting system products",335121,Residential Electric Lighting Fixture Manufacturing,govai,"Electrical, communication, and lighting system products",
,,"small household appliances, including mixers; blenders; can openers; toasters; coffee makers; frypans; personal care appliances, such as hair dryers, curling irons, and shavers; tap water purifiers and filters; etc",335210,Small Electrical Appliance Manufacturing,govai,"Small household appliances, including mixers; blenders; can openers; toasters; coffee makers; frypans; personal care appliances, such as hair dryers, curling irons, and shavers; tap water purifiers and filters; etc.",
,,major household appliances and related parts and accessories,335220,Major Household Appliance Manufacturing,govai,Major household appliances and related parts and accessories,
,,"batteries, except automotive",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,govai,"Batteries, except automotive",
,,"electricity generation, control, and storage equipment",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,govai,"Electricity generation, control, and storage equipment",
,,"materials and supplies for electronic and electrical equipment, appliances, and component manufacturing",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,govai,"Materials and supplies for electronic and electrical equipment, appliances, and component manufacturing",
,,automobiles and light-duty trucks,336111,Automobile Manufacturing,govai,Automobiles and light-duty trucks,
,,"heavy trucks, trailers, and road tractors, more than 33,000 lb",336120,Heavy Duty Truck Manufacturing,govai,"Heavy trucks, trailers, and road tractors, more than 33,000 lb.",
,,new heavy truck bodies,336211,Motor Vehicle Body Manufacturing,govai,New heavy truck bodies,
,,"new light truck, van, and suv bodies",336211,Motor Vehicle Body Manufacturing,govai,"New light truck, van, and SUV bodies",
,,"motor homes, travel trailers, and campers",336214,Travel Trailer and Camper Manufacturing,govai,"Motor homes, travel trailers, and campers",
,,"new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals",336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,govai,"New and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals",
,,automotive parts and supplies,336390,Other Motor Vehicle Parts Manufacturing,govai,Automotive parts and supplies,
,,aircraft and aeronautical equipment,336411,Aircraft Manufacturing,govai,Aircraft and aeronautical equipment,
,,"new and used aircraft, engines, and parts and accessories",336411,Aircraft Manufacturing,govai,"New and used aircraft, engines, and parts and accessories",
,,"aircraft equipment and supplies, including engines and engine parts",336412,Aircraft Engine and Engine Parts Manufacturing,govai,"Aircraft equipment and supplies, including engines and engine parts",
,,boats and go-carts,336612,Boat Building,govai,Boats and go-carts,
,,boats and other sports vehicles,336612,Boat Building,govai,Boats and other sports vehicles,
,,"bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories",336991,"Motorcycle, Bicycle, and Parts Manufacturing",govai,"Bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories",
,,motorcycles and other sports vehicles,336991,"Motorcycle, Bicycle, and Parts Manufacturing",govai,Motorcycles and other sports vehicles,
,,"motorcycles, motor scooters, motor bikes, including parts and accessories",336991,"Motorcycle, Bicycle, and Parts Manufacturing",govai,"Motorcycles, motor scooters, motor bikes, including parts and accessories",
,,household and lawn furniture,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,manual,Wholesale sales of household and lawn furniture,4000750000
,,indoor home furniture,337121,Upholstered Household Furniture Manufacturing,govai,Indoor home furniture,
,,outdoor/ patio furniture,337122,Nonupholstered Wood Household Furniture Manufacturing,govai,Outdoor/ patio furniture,
,,other home furnishings and accessories,337125,Household Furniture (except Wood and Metal) Manufacturing,govai,Other home furnishings and accessories,
,,office furniture,337211,Wood Office Furniture Manufacturing,govai,Office furniture,
,,commercial furniture,337214,Office Furniture (except Wood) Manufacturing,govai,Commercial furniture,
,,office equipment and furniture (except computers),337214,Office Furniture (except Wood) Manufacturing,govai,Office equipment and furniture (except computers),
,,"mattresses, box springs, and air mattresses",337910,Mattress Manufacturing,govai,"Mattresses, box springs, and air mattresses",
,,window treatments,33792,Blind and Shade Manufacturing,manual,Wholesale sales of window treatments,4000775000
,,"window treatments, including rods, poles, and fixtures",337920,Blind and Shade Manufacturing,govai,"Window treatments, including rods, poles, and fixtures",
,,"medical, dental, and veterinary equipment",339112,Surgical and Medical Instrument Manufacturing,govai,"Medical, dental, and veterinary equipment",
,,"medical, dental, and veterinary instruments and supplies",339112,Surgical and Medical Instrument Manufacturing,govai,"Medical, dental, and veterinary instruments and supplies",
,,health aids and first aid supplies,339113,Surgical Appliance and Supplies Manufacturing,govai,Health aids and first aid supplies,
,,home health care equipment and supplies,339113,Surgical Appliance and Supplies Manufacturing,govai,Home health care equipment and supplies,
,,"orthopedic and prosthetic appliances and supplies, including wheelchairs, walkers, crutches, canes, and hearing aids",339113,Surgical Appliance and Supplies Manufacturing,govai,"Orthopedic and prosthetic appliances and supplies, including wheelchairs, walkers, crutches, canes, and hearing aids",
,,safety equipment,339113,Surgical Appliance and Supplies Manufacturing,govai,Safety equipment,
,,glasses and contact lenses,339115,Ophthalmic Goods Manufacturing,govai,Glasses and contact lenses,
,,optical and ophthalmic goods and supplies,339115,Ophthalmic Goods Manufacturing,govai,Optical and ophthalmic goods and supplies,
,,costume jewelry,33991,Jewelry and Silverware Manufacturing,manual,Wholesale sales of costume jewelry,4000650000
,,"jewelry, except costume",33991,Jewelry and Silverware Manufacturing,manual,"Wholesale sales of jewelry, except costume",4000675000
,,costume and novelty jewelry,339910,Jewelry and Silverware Manufacturing,govai,Costume and novelty jewelry,
,,fine jewelry and watches,339910,Jewelry and Silverware Manufacturing,govai,Fine jewelry and watches,
,,golf equipment,339920,Sporting and Athletic Goods Manufacturing,govai,Golf equipment,
,,"hunting, fishing, hiking, and camping equipment",339920,Sporting and Athletic Goods Manufacturing,govai,"Hunting, fishing, hiking, and camping equipment",
,,"other sporting goods and equipment, excluding sport vehicles",339920,Sporting and Athletic Goods Manufacturing,govai,"Other sporting goods and equipment, excluding sport vehicles",
,,sporting and recreational equipment,339920,Sporting and Athletic Goods Manufacturing,govai,Sporting and recreational equipment,
,,"toys, games, and hobby and craft supplies",339930,"Doll, Toy, and Game Manufacturing",govai,"Toys, games, and hobby and craft supplies",
,,"toys, games, and hobby goods",339930,"Doll, Toy, and Game Manufacturing",govai,"Toys, games, and hobby goods",
,,art supplies,339940,Office Supplies (except Paper) Manufacturing,govai,Art supplies,
,,"office and school supplies, packaging and packing materials and supplies, and other general industry and miscellaneous materials and supplies",339940,Office Supplies (except Paper) Manufacturing,govai,"Office and school supplies, packaging and packing materials and supplies, and other general industry and miscellaneous materials and supplies",
,,office supplies,339940,Office Supplies (except Paper) Manufacturing,govai,Office supplies,
,,school supplies,339940,Office Supplies (except Paper) Manufacturing,govai,School supplies,
,,nonelectric signs and coin-operated games,339950,Sign Manufacturing,govai,Nonelectric signs and coin-operated games,
,,musical instruments,339992,Musical Instrument Manufacturing,govai,Musical instruments,
,,"musical instruments, sheet music, and related items",339992,Musical Instrument Manufacturing,govai,"Musical instruments, sheet music, and related items",
,,"notions, including buttons, ribbons, lace, sewing accessories, zippers, and bindings",339993,"Fastener, Button, Needle, and Pin Manufacturing",govai,"Notions, including buttons, ribbons, lace, sewing accessories, zippers, and bindings",
,,janitorial supplies and nonpower janitorial equipment,339994,"Broom, Brush, and Mop Manufacturing",govai,Janitorial supplies and nonpower janitorial equipment,
,,caskets and other funeral goods,339995,Burial Casket Manufacturing,govai,Caskets and other funeral goods,
,,"caskets, monuments, grave markers, and other funeral goods",339995,Burial Casket Manufacturing,govai,"Caskets, monuments, grave markers, and other funeral goods",
,,"novelties and souvenirs, except novelty glassware",339999,All Other Miscellaneous Manufacturing,govai,"Novelties and souvenirs, except novelty glassware",
,,"magazines and newspapers, including issue format comic books",511110,Newspaper Publishers,govai,"Magazines and newspapers, including issue format comic books",
,,computer software,511210,Software Publishers,govai,Computer software,
,,computer software,511210,Software Publishers,govai,Computer software,
,,"home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock",,,unmatched,"Wholesale sales of home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock",4000975000
,,other materials and supplies for textile mills,,,unmatched,Wholesale sales of other materials and supplies for textile mills,4003125000
,,smoking accessories,,,unmatched,Wholesale sales of smoking accessories,4000475000
